Index,Value
2,100
2,148
2,100
2,100
2,30
2,100
2,100
2,30
2,30
2,100
2,30
2,30
2,200
2,30
2,30
2,30
2,30
2,198
2,200
2,200
2,30
2,30
2,30
2,30
2,200
2,30
2,30
2,200
2,200
2,165
2,200
2,30
2,30
2,30
2,200
2,255
2,180
2,30
2,30
2,30
2,100
2,200
2,30
2,30
2,100
2,30
2,100
2,100
2,30
2,30
2,30
2,30
2,128
2,100
2,100
2,100
2,100
2,100
2,30
2,30
2,100
2,30
2,30
2,30
2,30
2,30
2,30
2,30
2,30
2,30
2,30
2,30
2,30
2,30
2,200
2,30
2,30
2,30
2,30
2,30
2,200
2,30
2,30
2,200
2,30
2,200
2,30
2,30
2,30
2,30
2,30
2,30
2,200
2,30
2,30
2,200
2,200
2,200
2,200
2,200
2,191
2,30
2,200
2,30
2,30
2,30
2,30
2,200
2,30
2,30
2,200
2,200
2,200
2,30
2,30
2,30
2,200
2,30
2,30
2,200
2,30
2,30
2,200
2,200
2,30
2,100
2,199
2,30
2,30
2,30
2,30
2,30
2,30
2,100
2,30
2,30
2,30
2,30
2,100
2,30
2,30
2,30
2,30
2,30
2,30
2,100
2,100
2,100
2,100
2,100
2,30
2,30
2,100
2,100
2,30
2,30
2,30
2,100
2,100
2,100
2,30
2,30
2,30
2,30
2,30
2,200
2,30
2,30
2,30
2,30
2,100
2,30
2,30
2,30
2,30
2,30
2,100
2,100
3,200
3,200
