Index,Value
1,30
1,157
1,30
1,200
1,124
1,199
1,100
1,124
1,100
1,111
1,30
1,116
1,30
1,30
1,30
1,30
1,30
1,200
1,151
1,176
1,30
1,30
1,30
1,30
1,30
1,153
1,30
1,30
1,30
1,30
1,30
1,200
1,165
1,180
1,152
1,191
1,137
1,200
1,128
1,30
1,30
1,30
1,30
1,30
1,30
1,200
1,196
1,157
1,142
1,30
1,141
1,176
1,30
1,30
1,30
1,30
1,30
1,134
1,30
1,30
1,30
1,30
1,30
1,200
1,200
1,30
1,30
1,30
1,30
1,200
1,30
1,30
1,200
1,200
1,200
1,200
1,30
1,30
1,30
1,200
1,255
1,200
1,30
1,30
1,30
1,200
1,200
1,30
1,193
1,171
1,145
1,30
1,160
1,30
1,30
1,30
1,200
1,167
1,143
1,141
1,157
1,121
1,199
1,100
1,30
1,100
1,186
1,30
1,30
1,30
1,30
1,200
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,200
1,30
1,30
1,30
1,30
1,30
1,200
1,30
1,30
1,200
1,30
1,200
1,30
1,30
1,30
1,30
1,30
1,30
1,200
1,30
1,30
1,200
1,200
1,200
1,200
1,200
1,200
1,200
1,200
1,30
1,30
1,30
1,200
1,30
1,30
1,30
1,200
1,200
1,30
1,30
1,30
1,200
1,200
1,200
1,30
1,200
1,30
1,30
1,30
1,30
1,30
1,200
1,200
1,30
1,30
1,200
1,30
1,30
1,30
1,30
1,30
1,200
1,30
1,30
1,200
1,30
1,30
1,30
1,200
1,30
1,30
1,200
1,200
1,200
1,172
1,200
1,30
1,30
1,183
1,30
1,30
1,30
1,200
1,163
1,168
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,157
1,164
1,166
1,30
1,30
1,30
1,100
1,148
1,100
1,140
2,183
2,200
2,30
2,200
2,148
2,132
2,100
2,118
2,100
2,100
2,123
2,100
2,30
2,30
2,30
2,100
2,30
2,200
2,30
2,193
2,30
2,30
2,30
2,30
2,187
2,30
2,30
2,30
2,30
2,30
2,30
2,30
2,151
2,178
2,129
2,184
2,100
2,132
2,100
2,30
2,30
2,30
2,30
2,30
2,30
